business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,area_business,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,due_in_date_parsed,clear_date_parsed,posting_date_parsed,amount,invoice_age_days,posting_month,posting_quarter,due_month,due_day_of_week,customer_late_rate,customer_avg_delay,customer_invoice_count,business_code_encoded,payment_terms_encoded,late_payment_probability,predicted_late,overdue_days,ml_risk_tier
U001,0200769623,WAL-MAR corp,2020-02-11 00:00:00,2020.0,1930438491.0,2020-01-26,20200125,20200126,20200210.0,USD,RV,1.0,,54273.28,20200126.0,NAH4,1930438491.0,0,2020-02-10,2020-02-11,2020-01-26,54273.28,15,1,1,2,0,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.1955099668360307,0,0,Low Risk
U001,0200980828,BEN E ,2019-08-08 00:00:00,2019.0,1929646410.0,2019-07-22,20190722,20190722,20190811.0,USD,RV,1.0,,79656.6,20190722.0,NAD1,1929646410.0,0,2019-08-11,2019-08-08,2019-07-22,79656.6,20,7,3,8,6,0.0250326418161068,3.003917017932824,20.5,0,9,0.3587280004201651,0,0,Low Risk
U001,0200792734,MDV/ trust,2019-12-30 00:00:00,2019.0,1929873765.0,2019-09-14,20190914,20190914,20190929.0,USD,RV,1.0,,2253.86,20190914.0,NAA8,1929873765.0,0,2019-09-29,2019-12-30,2019-09-14,2253.86,15,9,3,9,6,0.2652212934005818,1.600652154750141,62.0,0,2,0.5619729413793588,1,0,Medium Risk
CA02,0140105686,SYSC llc,,2020.0,2960623488.0,2020-03-30,20200330,20200330,20200410.0,CAD,RV,1.0,,3299.7,20200331.0,CA10,2960623488.0,1,2020-04-10,,2020-03-30,3299.7,11,3,1,4,4,0.9676863348685708,5.83334909902797,112.5,2,6,0.9240546003723468,1,91,High Risk
U001,0200769623,WAL-MAR foundation,2019-11-25 00:00:00,2019.0,1930147974.0,2019-11-13,20191113,20191113,20191128.0,USD,RV,1.0,,33133.29,20191113.0,NAH4,1930147974.0,0,2019-11-28,2019-11-25,2019-11-13,33133.29,15,11,4,11,3,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.2929539716034179,0,0,Low Risk
CA02,0140106181,THE  corporation,2019-12-04 00:00:00,2019.0,2960581231.0,2019-09-20,20190920,20190920,20191004.0,CAD,RV,1.0,,22225.84,20190924.0,CA10,2960581231.0,0,2019-10-04,2019-12-04,2019-09-20,22225.84,14,9,3,10,4,0.943307791764588,71.82804778693205,38.0,2,6,0.9962073693614524,1,0,High Risk
U001,0200769623,WAL-MAR in,2019-11-12 00:00:00,2019.0,1930083373.0,2019-11-01,20191031,20191101,20191116.0,USD,RV,1.0,,7358.49,20191101.0,NAH4,1930083373.0,0,2019-11-16,2019-11-12,2019-11-01,7358.49,15,11,4,11,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3730592913523108,0,0,Low Risk
U001,0200744019,TARG us,,2020.0,1930659387.0,2020-03-19,20200318,20200319,20200403.0,USD,RV,1.0,,11173.02,20200319.0,NAA8,1930659387.0,1,2020-04-03,,2020-03-19,11173.02,15,3,1,4,4,0.7367411018545494,4.087887182035333,311.0,0,2,0.8113950009149012,1,98,High Risk
U001,0200769623,WAL-MAR corp,2019-06-18 00:00:00,2019.0,1929439637.0,2019-06-07,20190605,20190607,20190622.0,USD,RV,1.0,,15995.04,20190607.0,NAH4,1929439637.0,0,2019-06-22,2019-06-18,2019-06-07,15995.04,15,6,2,6,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3741614284407347,0,0,Low Risk
U001,0200762301,C&S WH systems,2019-03-06 00:00:00,2019.0,1928819386.0,2019-02-20,20190219,20190220,20190307.0,USD,RV,1.0,,28.63,20190220.0,NAC6,1928819386.0,0,2019-03-07,2019-03-06,2019-02-20,28.63,15,2,1,3,3,0.3275645865953983,0.958837070833118,467.0,0,10,0.4386649291605057,0,0,Low Risk
U001,0200418007,AM ,,2020.0,1930610806.0,2020-03-11,20200306,20200311,20200326.0,USD,RV,1.0,,3525.59,20200311.0,NAA8,1930610806.0,1,2020-03-26,,2020-03-11,3525.59,15,3,1,3,3,0.5412973617555035,4.912849354134689,164.0,0,2,0.675305048738862,1,106,Medium Risk
U001,0200743129,BROOKS co,2019-01-22 00:00:00,2019.0,1928550622.0,2019-01-02,20190102,20190102,20190117.0,USD,RV,1.0,,103147.37,20190102.0,NAA8,1928550622.0,0,2019-01-17,2019-01-22,2019-01-02,103147.37,15,1,1,1,3,0.3805318316256555,1.5237577349894835,18.0,0,2,0.5057222538420977,1,0,Medium Risk
U001,0200186937,SYSC corporation,2019-05-06 00:00:00,2019.0,1929151655.0,2019-04-15,20190415,20190415,20190430.0,USD,RV,1.0,,16381.45,20190415.0,NAA8,1929151655.0,0,2019-04-30,2019-05-06,2019-04-15,16381.45,15,4,2,4,1,0.6247070637695638,1.7081479284604284,7.5,0,2,0.6180491940732119,1,0,Medium Risk
U001,0200721222,GO corporation,2019-11-01 00:00:00,2019.0,1930022117.0,2019-10-17,20191017,20191017,20191101.0,USD,RV,1.0,,19581.57,20191017.0,NAA8,1930022117.0,0,2019-11-01,2019-11-01,2019-10-17,19581.57,15,10,4,11,4,0.3146316550858419,1.242488301141694,20.5,0,2,0.5050504002183215,1,0,Medium Risk
U001,0200739534,OK systems,,2020.0,1930788296.0,2020-04-15,20200415,20200415,20200430.0,USD,RV,1.0,,121105.65,20200415.0,NAA8,1930788296.0,1,2020-04-30,,2020-04-15,121105.65,15,4,2,4,3,0.5558594532586125,2.2729847298414243,68.0,0,2,0.6427564856196325,1,71,Medium Risk
U001,0200353024,DECA corporation,,2020.0,1930817482.0,2020-04-23,20200423,20200423,20200426.0,USD,RV,1.0,,3726.06,20200416.0,NAM2,1930817482.0,1,2020-04-26,,2020-04-23,3726.06,3,4,2,4,6,0.1564581333423372,0.609539208829049,114.5,0,19,0.4241953984795232,0,75,Low Risk
U001,0200794332,COST in,2019-11-12 00:00:00,2019.0,1930052739.0,2019-10-25,20191025,20191025,20191109.0,USD,RV,1.0,,5181.51,20191025.0,NAAX,1930052739.0,0,2019-11-09,2019-11-12,2019-10-25,5181.51,15,10,4,11,5,0.2835017377005195,1.1619302084157763,342.5,0,1,0.5212570592884879,1,0,Medium Risk
U001,0200881076,ALBERT corp,2019-12-17 00:00:00,2019.0,1930209407.0,2019-12-02,20191202,20191202,20191217.0,USD,RV,1.0,,19082.14,20191202.0,NAA8,1930209407.0,0,2019-12-17,2019-12-17,2019-12-02,19082.14,15,12,4,12,1,0.2699871037344759,0.4417495100014061,35.5,0,2,0.3380366834651757,0,0,Low Risk
U001,0200769623,WAL-MAR trust,2019-11-26 00:00:00,2019.0,1930153511.0,2019-11-15,20191114,20191115,20191130.0,USD,RV,1.0,,12819.5,20191115.0,NAH4,1930153511.0,0,2019-11-30,2019-11-26,2019-11-15,12819.5,15,11,4,11,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3724301901571236,0,0,Low Risk
U001,0200769623,WAL-MAR systems,2020-02-05 00:00:00,2020.0,1930438462.0,2020-01-24,20200124,20200124,20200208.0,USD,RV,1.0,,53349.54,20200124.0,NAH4,1930438462.0,0,2020-02-08,2020-02-05,2020-01-24,53349.54,15,1,1,2,5,0.1765038817022837,0.9707304588804326,3443.0,0,0,0.3679604007809077,0,0,Low Risk
U013,0100053554,SYSTEMS systems,2020-02-11 00:00:00,2020.0,1991837617.0,2020-01-11,20200107,20200111,20200210.0,USD,RV,1.0,,5683.5,20200111.0,NAVE,1991837617.0,0,2020-02-10,2020-02-11,2020-01-11,5683.5,30,1,1,2,0,0.0,0.0,0.0,1,4,0.1584492024568692,0,0,Low Risk
