business_code,cust_number,name_customer,buisness_year,doc_id,invoice_currency,document_type,posting_id,total_open_amount,cust_payment_terms,invoice_id,isopen,clear_date_datetime,posting_date_datetime,document_create_date_datetime,document_create_date.1_datetime,due_in_date_datetime,baseline_create_date_datetime
U001,0200769623,WAL-MAR corp,2020,1930438491,USD,RV,1,54273.28,NAH4,1930438491,0,2020-02-11,2020-01-26,1970-01-01 00:00:00.020200125,1970-01-01 00:00:00.020200126,1970-01-01 00:00:00.020200210,1970-01-01 00:00:00.020200126
U001,0200980828,BEN E ,2019,1929646410,USD,RV,1,79656.6,NAD1,1929646410,0,2019-08-08,2019-07-22,1970-01-01 00:00:00.020190722,1970-01-01 00:00:00.020190722,1970-01-01 00:00:00.020190811,1970-01-01 00:00:00.020190722
U001,0200792734,MDV/ trust,2019,1929873765,USD,RV,1,2253.86,NAA8,1929873765,0,2019-12-30,2019-09-14,1970-01-01 00:00:00.020190914,1970-01-01 00:00:00.020190914,1970-01-01 00:00:00.020190929,1970-01-01 00:00:00.020190914
CA02,0140105686,SYSC llc,2020,2960623488,CAD,RV,1,3299.7,CA10,2960623488,1,,2020-03-30,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200330,1970-01-01 00:00:00.020200410,1970-01-01 00:00:00.020200331
U001,0200769623,WAL-MAR foundation,2019,1930147974,USD,RV,1,33133.29,NAH4,1930147974,0,2019-11-25,2019-11-13,1970-01-01 00:00:00.020191113,1970-01-01 00:00:00.020191113,1970-01-01 00:00:00.020191128,1970-01-01 00:00:00.020191113
CA02,0140106181,THE  corporation,2019,2960581231,CAD,RV,1,22225.84,CA10,2960581231,0,2019-12-04,2019-09-20,1970-01-01 00:00:00.020190920,1970-01-01 00:00:00.020190920,1970-01-01 00:00:00.020191004,1970-01-01 00:00:00.020190924
U001,0200769623,WAL-MAR in,2019,1930083373,USD,RV,1,7358.49,NAH4,1930083373,0,2019-11-12,2019-11-01,1970-01-01 00:00:00.020191031,1970-01-01 00:00:00.020191101,1970-01-01 00:00:00.020191116,1970-01-01 00:00:00.020191101
U001,0200744019,TARG us,2020,1930659387,USD,RV,1,11173.02,NAA8,1930659387,1,,2020-03-19,1970-01-01 00:00:00.020200318,1970-01-01 00:00:00.020200319,1970-01-01 00:00:00.020200403,1970-01-01 00:00:00.020200319
U001,0200769623,WAL-MAR corp,2019,1929439637,USD,RV,1,15995.04,NAH4,1929439637,0,2019-06-18,2019-06-07,1970-01-01 00:00:00.020190605,1970-01-01 00:00:00.020190607,1970-01-01 00:00:00.020190622,1970-01-01 00:00:00.020190607
U001,0200762301,C&S WH systems,2019,1928819386,USD,RV,1,28.63,NAC6,1928819386,0,2019-03-06,2019-02-20,1970-01-01 00:00:00.020190219,1970-01-01 00:00:00.020190220,1970-01-01 00:00:00.020190307,1970-01-01 00:00:00.020190220
U001,0200418007,AM ,2020,1930610806,USD,RV,1,3525.59,NAA8,1930610806,1,,2020-03-11,1970-01-01 00:00:00.020200306,1970-01-01 00:00:00.020200311,1970-01-01 00:00:00.020200326,1970-01-01 00:00:00.020200311
U001,0200743129,BROOKS co,2019,1928550622,USD,RV,1,103147.37,NAA8,1928550622,0,2019-01-22,2019-01-02,1970-01-01 00:00:00.020190102,1970-01-01 00:00:00.020190102,1970-01-01 00:00:00.020190117,1970-01-01 00:00:00.020190102
U001,0200186937,SYSC corporation,2019,1929151655,USD,RV,1,16381.45,NAA8,1929151655,0,2019-05-06,2019-04-15,1970-01-01 00:00:00.020190415,1970-01-01 00:00:00.020190415,1970-01-01 00:00:00.020190430,1970-01-01 00:00:00.020190415
U001,0200721222,GO corporation,2019,1930022117,USD,RV,1,19581.57,NAA8,1930022117,0,2019-11-01,2019-10-17,1970-01-01 00:00:00.020191017,1970-01-01 00:00:00.020191017,1970-01-01 00:00:00.020191101,1970-01-01 00:00:00.020191017
U001,0200739534,OK systems,2020,1930788296,USD,RV,1,121105.65,NAA8,1930788296,1,,2020-04-15,1970-01-01 00:00:00.020200415,1970-01-01 00:00:00.020200415,1970-01-01 00:00:00.020200430,1970-01-01 00:00:00.020200415
